Accuracy,Experiment,F1,IoU_stable,IoU_unstable,Model,Precision,Recall,dIoU
0.7811324772626981,Nuscenes-ICPMaps-NoAugs-NoRadarFeatures,0.3703803408407536,0.7602510082647991,0.2422999702843872,sps,0.7702452317567644,0.25491439107123715,0.2422999702843872
0.7841863704895219,Nuscenes-ICPMaps-NoAugs-RadarFeatures,0.3665200748632219,0.7643849547147108,0.2403274537148263,sps,0.8297411280469732,0.24796735323688204,0.2403274537148263
0.7743889426439468,Nuscenes-ICPMaps-Augs-RadarFeatures,0.3066431305754918,0.7582796298540156,0.2003155138720913,sps,0.8452157749863062,0.2071671757734673,0.2003155138720913
0.7286756683205192,Nuscenes-MapsDPR-NoAugs-RadarFeatures,0.05426652065748031,0.7266870521894915,0.029395620622976706,sps,0.6669824582334303,0.030131087503189338,0.029395620622976706
0.8421068590123271,Nuscenes-MapsDPR-NoAugs-RadarFeatures-DPRScans,0.013322536301225069,0.8414513794286791,0.0080840606863179,sps,0.06316600617933862,0.008526021767177972,0.0080840606863179
0.8031762792198717,tversky-nosubmaps-noaugs,0.632089070973475,0.7546692530798268,0.4746365552556501,rit,0.6842438546462066,0.635209610253329,0.4746365552556501
0.7825993082242396,tversky-nosubmaps-augs,0.6110022041250038,0.7266413073037475,0.4521723056479868,rit,0.6262422600753714,0.6447482007273946,0.4521723056479868
0.7923576768277666,ce-nosubmaps-noaugs,0.6372113351735919,0.7331604077792652,0.4796301941458601,rit,0.6534840403981911,0.6762373940112761,0.4796301941458601
0.7853417819585184,ce-nosubmaps-augs,0.6129759624618502,0.7339303012023368,0.4539551508310752,rit,0.6213720936078878,0.6492631727593356,0.4539551508310752
0.7962483035754685,ce-dprsubmaps-noaugs,0.6345351559959689,0.7406605285031779,0.4779057644429542,rit,0.6740600151168222,0.6528841214612532,0.4779057644429542
0.8314433133599397,ce-dprsubmaps-noaugs-dprscans,0.3706103545039173,0.8145010848622646,0.2369353520769503,rit,0.4622320340470669,0.37237737140911387,0.2369353520769503
0.8424580510801598,tversky-dprsubmaps-noaugs-dprscans,0.3507057747067699,0.8286513518823251,0.2226816585187717,rit,0.4778805003409942,0.3239845524884432,0.2226816585187717
0.8414524304978173,Nuscenes-MapsDPR@R1-NoAugs-RadarFeatures-DPRScans,0.011734618928322806,0.8409840448938545,0.007361309964809205,sps,0.05342656211608602,0.00801616862989098,0.007361309964809205
0.8356823373263893,ce-dprsubmaps@R1-noaugs-dprscans,0.34103232592125277,0.8213192526910197,0.21358538322382628,rit,0.47234013963831656,0.31743437722916346,0.21358538322382628
